player,comp,season,Progressive Passes,Key passes,Pass completion %,Shot creating actions p 90,1/3,Matches Played,Avg Mins per Match
Ragnar Klavan,Premier League,2017-18,73.0,4.0,90.1,1.3,61.0,19,76.36842105263158
Roberto Firmino,Premier League,2017-18,136.0,57.0,70.5,4.33,68.0,37,74.67567567567568
Sadio Mané,Premier League,2017-18,120.0,48.0,78.3,4.32,55.0,29,75.51724137931035
Simon Mignolet,Premier League,2017-18,0.0,0.0,74.4,0.16,6.0,19,90.0
Trent Alexander-Arnold,Premier League,2017-18,94.0,25.0,73.6,2.4,76.0,19,82.78947368421052
Virgil van Dijk,Premier League,2017-18,82.0,5.0,89.7,0.93,61.0,14,90.0
Aymeric Laporte,Premier League,2017-18,72.0,2.0,92.3,1.34,54.0,9,89.55555555555556
Benjamin Mendy,Premier League,2017-18,27.0,9.0,76.8,3.47,20.0,7,51.857142857142854
Bernardo Silva,Premier League,2017-18,80.0,31.0,83.6,3.58,31.0,35,43.8
Brahim Díaz,Premier League,2017-18,0.0,0.0,86.2,3.27,0.0,5,11.0
Claudio Bravo,Premier League,2017-18,0.0,0.0,90.1,0.0,0.0,3,75.33333333333333
Danilo,Premier League,2017-18,89.0,5.0,88.1,1.6,79.0,23,58.65217391304348
David Silva,Premier League,2017-18,337.0,61.0,86.6,5.22,201.0,29,83.79310344827586
Ederson,Premier League,2017-18,0.0,1.0,87.0,0.08,9.0,36,88.72222222222223
Eliaquim Mangala,Premier League,2017-18,15.0,1.0,91.3,0.37,10.0,9,54.22222222222222
Fabian Delph,Premier League,2017-18,132.0,11.0,92.3,2.07,129.0,22,79.13636363636364
Fernandinho,Premier League,2017-18,320.0,20.0,89.6,2.31,318.0,34,84.73529411764706
Gabriel Jesus,Premier League,2017-18,49.0,18.0,79.5,3.29,17.0,29,57.51724137931034
John Stones,Premier League,2017-18,71.0,0.0,95.8,0.48,51.0,18,72.33333333333333
Kevin De Bruyne,Premier League,2017-18,388.0,105.0,78.2,6.3,258.0,37,83.05405405405405
Kyle Walker,Premier League,2017-18,221.0,29.0,86.0,1.87,221.0,32,87.0
Leroy Sané,Premier League,2017-18,68.0,57.0,79.2,4.61,27.0,32,75.59375
Lukas Nmecha,Premier League,2017-18,0.0,0.0,100.0,0.0,0.0,2,8.0
Nicolás Otamendi,Premier League,2017-18,212.0,12.0,91.8,1.09,226.0,34,87.26470588235294
Oleksandr Zinchenko,Premier League,2017-18,57.0,8.0,91.1,2.54,55.0,8,66.5
Phil Foden,Premier League,2017-18,0.0,2.0,85.4,12.86,2.0,5,9.8
Raheem Sterling,Premier League,2017-18,94.0,55.0,81.7,4.94,34.0,33,78.36363636363636
Sergio Agüero,Premier League,2017-18,49.0,40.0,81.4,3.67,25.0,25,78.52
Vincent Kompany,Premier League,2017-18,85.0,4.0,92.5,0.84,94.0,17,82.0
Yaya Touré,Premier League,2017-18,50.0,7.0,93.5,5.34,43.0,10,23.6
İlkay Gündoğan,Premier League,2017-18,154.0,20.0,91.3,3.8,122.0,30,50.56666666666667
Alexis Sánchez,Premier League,2017-18,70.0,26.0,70.8,4.23,52.0,12,86.91666666666667
