player_id,player,team,league,season,age,nationality,minutes,goals_per90,assists_per90,ga_nopk_per90,shots,shots_on_target,goals_per_shot,tackles,interceptions,fouls_drawn,crosses_per90,progressive_passes_per90,key_passes_per90,pass_completion_pct,sca_per90,passes_final_third_total,xa_per90,np_xg_per90,xg_chain,xg_buildup,cluster,pc1,pc2,similarity_to_kroos
Alex Oxlade-Chamberlain_2019-20,Alex Oxlade-Chamberlain,Liverpool,Premier League,2019-20,25,ENG,1485,0.24,0.06,0.3,2.42,0.61,0.1,0.5455,1.3333,0.8485,2.7273,0.196,0.0343,78.6,3.09,77.0,0.0572,0.1518,5.693247593939304,2.6489668991416693,2.0,0.435,-0.4366,0.6439
Alexander Djiku_2019-20,Alexander Djiku,Strasbourg,Ligue 1,2019-20,24,GHA,2064,0.04,0.04,0.09,0.87,0.31,0.05,1.3537,2.2707,1.0044,0.262,0.1622,0.0105,85.6,0.83,58.0,0.0168,0.1275,6.562234521843493,6.293256272561848,1.0,-2.6544,-0.0202,0.5594
Alexander Tettey_2019-20,Alexander Tettey,Norwich City,Premier League,2019-20,33,NOR,2338,0.04,0.04,0.08,0.89,0.15,0.04,0.8077,1.6538,0.2692,0.1538,0.0693,0.0064,87.9,0.92,63.0,0.0188,0.026,5.790715465322137,5.039047980681062,1.0,-2.2923,-1.0259,0.5387
Alexandru Maxim_2019-20,Alexandru Maxim,Mainz 05,Bundesliga,2019-20,29,ROU,117,0.0,0.0,0.0,2.31,0.0,0.0,1.5385,0.7692,0.0,10.0,1.5385,0.9231,76.9,6.15,4.0,0.4289,0.0808,1.2018546238541603,0.6672589983791113,,,,
Alexis Blin_2019-20,Alexis Blin,Amiens,Ligue 1,2019-20,22,FRA,1841,0.0,0.05,0.05,0.1,0.0,0.0,1.1707,0.9756,1.3171,0.7805,0.2037,0.0143,83.7,0.78,65.0,0.0347,0.0028,2.210475103929639,2.148359404876828,1.0,-2.4593,0.1506,0.6271
Alexis Claude-Maurice_2019-20,Alexis Claude-Maurice,Nice,Ligue 1,2019-20,21,FRA,1629,0.06,0.06,0.11,2.1,0.55,0.03,0.9392,0.6077,2.4309,1.547,0.1607,0.0502,84.2,3.2,30.0,0.0,0.0,0.0,0.0,0.0,-0.6319,-0.0838,0.6647
Alexis Mac Allister_2019-20,Alexis Mac Allister,Brighton,Premier League,2019-20,20,ARG,352,0.0,0.0,0.0,1.79,0.26,0.0,1.2821,0.2564,1.0256,5.8974,0.1705,0.142,63.6,2.81,6.0,0.0521,0.1506,1.1725874012336135,0.5007041096687317,,,,
Alexis Saelemaekers_2019-20,Alexis Saelemaekers,Milan,Serie A,2019-20,20,BEL,684,0.13,0.0,0.13,1.18,0.26,0.11,1.0526,1.4474,1.0526,3.1579,0.1417,0.0709,80.7,3.42,13.0,0.0741,0.0849,3.986208950169385,3.0043438374996185,,,,
Alfonso Pedraza_2019-20,Alfonso Pedraza,Real Betis,La Liga,2019-20,23,ESP,1349,0.07,0.0,0.07,1.0,0.47,0.07,1.2667,1.0667,1.4667,2.6,0.1652,0.0318,75.6,1.74,34.0,0.0,0.0,0.0,0.0,1.0,-1.7887,-0.5659,0.6046
Alfred Duncan_2019-20,Alfred Duncan,Fiorentina,Serie A,2019-20,26,GHA,887,0.1,0.1,0.2,1.52,0.51,0.07,0.9091,0.5051,1.0101,1.5152,0.4215,0.0468,83.8,2.03,40.0,0.1689,0.1726,7.893031900748611,5.248120773583651,,,,
Alfredo Morales_2019-20,Alfredo Morales,Düsseldorf,Bundesliga,2019-20,29,USA,1730,0.05,0.1,0.16,1.04,0.21,0.05,0.8854,1.0417,1.5104,0.6771,0.1464,0.0193,69.2,2.14,50.0,0.0391,0.044,2.493336901068687,1.3468296276405454,1.0,-0.9308,-1.0391,0.5879
Alireza Jahanbakhsh_2019-20,Alireza Jahanbakhsh,Brighton,Premier League,2019-20,25,IRN,311,0.58,0.0,0.58,3.47,0.58,0.17,1.4286,0.2857,2.0,6.8571,0.3473,0.1158,62.3,3.47,5.0,0.2838,0.1675,1.5888512954115868,0.7349358983337879,,,,
Allan_2019-20,Allan,Napoli,Serie A,2019-20,28,BRA,1280,0.14,0.07,0.21,0.84,0.49,0.17,1.831,0.9155,1.6901,0.9155,0.2507,0.0459,86.2,3.23,74.0,0.0738,0.0403,3.854250088334083,2.775715507566929,0.0,-1.52,1.3778,0.7208
Allan Nyom_2019-20,Allan Nyom,Getafe,La Liga,2019-20,31,CMR,2422,0.07,0.0,0.07,0.48,0.15,0.15,0.9294,0.5948,0.855,3.6431,0.0699,0.0109,60.2,0.86,60.0,0.0,0.0,0.0,0.0,1.0,-1.2836,-2.635,0.4486
Allan Saint-Maximin_2019-20,Allan Saint-Maximin,Newcastle United,Premier League,2019-20,22,FRA,1863,0.14,0.19,0.34,2.22,1.01,0.07,0.3865,0.4348,2.3188,2.1256,0.091,0.0613,72.8,4.25,22.0,0.2093,0.1422,9.657798040658236,4.271794453263283,2.0,2.2034,-0.4934,0.627
